word,definition
grai,"Glas, voce."
gram,"Element secund de compunere savanta cu semnificatia gram, folosit in terminologia metrologica pentru formarea denumirilor multiplilor si submultiplilor gramului."
gras,"Care are sub piele un strat gros de grasime; care are forme pline, rotunde."
grav,"Care este extrem de important prin consecintele neplacute pe care le poate avea, care poate avea urmari rele."
grea,Care apasa cu greutate asupra suprafetei pe care sta; care are greutate (mare); care cantareste mult.
grefa,Fragment de tesut sau organ transplantat dintr-o regiune in alta a corpului aceluiasi individ sau de la un organism la altul.
gris,"Produs alimentar granular, obtinut din boabe de grau sau de alte cereale."
gura,"Cavitate din partea anterioara (si inferioara) a capului oamenilor si animalelor, prin care alimentele sunt introduse in organism"
hain,"Rau la inima, fara mila."
haita,"Grup de caini, de lupi etc. care umbla impreuna (dupa prada)."
hala,"Cladire amenajata, cu instalatiile necesare, unde se vand alimente (indeosebi carne); piata acoperita."
haos,"Stare generala de mare confuzie, dezordine mare."
harb,"Vas (de bucatarie) vechi, uzat, spart sau de proasta calitate."
harta,"Reprezentare grafica in plan orizontal a suprafetei pamantului (totala sau partiala), generalizata si micsorata conform unei anumite scari de proportie si intocmita pe baza unei proiectii cartografice."
hora,"Dans popular romanesc cu ritm domol, in care jucatorii se prind de mana, formand un cerc inchis; cerc format de cei care executa acest dans; melodie dupa care se executa acest dans."
horn,"Parte a cosului de fum la o casa, constituita din canalul ingropat in zidarie (si din portiunea iesita in afara prin acoperis)."
hota,"Constructie de zidarie, de metal sau de sticla, asezata deasupra unei surse de substante nocive gazoase pentru a le colecta si a le evacua, printr-un cos sau printr-un canal de ventilatie."
hribi,"Ciuperca comestibila, cu palaria de culoare bruna-galbuie si cu piciorul alb, gros."
hulit,"Batjocorit, ocarat."
huma,Numele popular al argilei intrebuintate la spoitul caselor.
husa,"Invelitoare de stofa, de panza, de material plastic etc. cu care se acopera mobilele, unele aparate, masini sau materiale spre a le proteja, a le feri de praf, umezeala etc."
iaht,"Nava mica si eleganta, cu panze sau cu propulsie mecanica, pentru un numar mic de pasageri, folosita pentru calatorii de agrement."
iapa,Femela calului.
icre,Denumire generica pentru ovulele de peste.
idee,Termen generic pentru diferite forme ale cunoasterii logice.
idem,"La fel, tot asa."
iris,"Membrana circulara, colorata a ochiului, situata inaintea cristalinului, in mijlocul careia se gaseste pupila."
idol,Divinitate pagana.
iglu,"Coliba facuta din blocuri de gheata sau zapada, construita de eschimosi in regiunile polare."
inel,"Cerc mic de metal (pretios, cu pietre scumpe) care se poarta ca podoaba pe deget."
ipsos,"Praf alb obtinut prin deshidratarea totala sau partiala a ghipsului macinat si incalzit in fierbatoare speciale, folosit ca liant."
iute,(Despre oameni) Care actioneaza sau reactioneaza repede.
jale,"Durere adanca; jelanie, jalarie, jeie, jalatate."
janta,"Partea exterioara periferica a unei roti de autovehicul, de bicicleta etc., construita astfel incat sa permita montarea pe roata a unui pneu."
jder,"Mic animal carnivor din familia mustelidelor, asemanator cu dihorul, cu blana pretioasa, de culoare bruna inchis."
jena,A avea un sentiment de retinere fata de ceva; a se rusina; a se sfii.
jos,Care este putin ridicat de la pamant.
jupa,Piesa vestimentara femeiasca care acopera corpul de la talie in jos.
juriu,"Comisie de specialisti desemnata pentru clasificarea si promovarea candidatilor sau a concurentilor si pentru decernarea unor premii la examene, competitii sportive etc."
just,Conform cu adevarul sau cu echitatea.
kiwi,"Fruct comestibil din Asia, cu forma ovala, de marimea unui mar mijlociu, cu miezul verde, carnos, acrisor si cu coaja pufoasa, verde-maronie."
koala,"Mamifer catarator din ordinul marsupialelor, ca un ursulet, care traieste in padurile umede din Australia, hranindu-se cu frunze de eucalipt."
lada,"Cutie mare de scanduri, de tabla, de carton etc. in care se pastreaza sau se transporta diferite lucruri."
lant,"sir de verigi, de placi, de zale etc. metalice, unite intre ele pentru a forma un tot, care serveste spre a lega ceva, a transmite o miscare."
larg,"Care ocupa o suprafata mare, care este extins in toate directiile."
lava,"Masa minerala in stare lichida incandescenta, aruncata la suprafata pamantului de un vulcan in eruptie (si care, prin racire, da nastere la diverse roci vulcanice)."
lemn,"Tesut conducator al unor plante superioare, alcatuit din trahee, parenchim si fibre cu lignina, folosit ca material de constructie, drept combustibil."
lene,"Faptul de a se complace in inactivitate; inclinatia celui caruia nu-i place, care nu doreste, nu vrea sa munceasca, caruia ii place sa stea fara sa munceasca."
lift,Ascensor.
liga,"Uniune, asociatie sau coalitie de state, de orase, de societati sau de persoane fizice ori juridice, constituita in vederea realizarii unui tel comun."
lipie,"Paine rotunda si plata, putin crescuta, cu coaja multa si miez putin."
logo,"Simbol, sigla formata dintr-un ansamblu de semne grafice, care constituie marca unui produs sau a unei firme."
loja,"Compartiment cuprinzand un numar redus de locuri pentru spectatori, asezat, alaturi de altele, in jurul incintei unei sali de spectacole."
lume,"Globul pamantesc (cu intreaga lui viata animala si vegetala), pamantul locuit de om."
luna,"Astru, satelit al Pamantului, care se invarteste in jurul acestuia si pe care il lumineaza in timpul noptii."
lung,"Care are o lungime mare, ale carui capete sunt departate unul de altul."
lupa,"Instrument optic alcatuit dintr-o lentila convergenta sau dintr-un ansamblu convergent de lentile care, fiind asezate in fata unui obiect, dau o imagine marita a acestuia."
lupta,A se bate corp la corp cu cineva.
maci,"Numele mai multor plante din familia papaveraceelor, cu flori de obicei rosii si cu seminte marunte, uleioase, inchise intr-o capsula."
magi,Preoti la unele popoare orientale din Antichitate.
maia,"Drojdie, ferment."
malt,"Produs obtinut din boabe de cereale (mai ales de orz) incoltite, uscate si macinate, folosit la fabricarea berii si a spirtului sau, prajit, la prepararea unui surogat de cafea."
