word,definition
faima,"Renume, reputatie (buna sau rea) de care se bucura cineva ori ceva."
fapta,"Actiune savarsita, act indeplinit de cineva."
farsa,"Comedie in care sunt cultivate indeosebi comicul usor, de situatie, bufoneria, intriga amuzanta si replica spirituala."
fauna,"Totalitatea speciilor de animale de pe glob, dintr-o regiune, dintr-o epoca geologica."
fazan,"Pasare de marimea unei gaini, cu coada lunga si ascutita, care se distinge printr-un penaj frumos si viu colorat, vanata pentru carnea ei gustoasa."
febra,"Temperatura ridicata a corpului, care constituie reactia organismului la un agent infectios, toxic."
femur,"Os lung care formeaza scheletul coapsei, de la genunchi pana la sold; osul coapsei."
ficus,"Planta exotica lemnoasa cu frunzele mari, groase, totdeauna verzi si stralucitoare, cultivata la noi ca planta ornamentala de interior."
fizic,Aspectul exterior al unei persoane; constitutie naturala a unei persoane.
foame,Stare functionala periodica a organismului care se manifesta prin senzatia nevoii de a manca.
forma,A da fiinta si forma unui lucru.
freza,Pieptanatura barbateasca.
frica,"Stare de adanca neliniste si de tulburare, provocata de un pericol real sau imaginar; lipsa de curaj."
fruct,Produs care apare si se dezvolta din pistilul unei flori fecundate si care contine semintele.
fular,"Fasie dreptunghiulara dintr-o tesatura sau dintr-o impletitura de lana, de matase care se poarta in jurul gatului."
fusta,"Obiect de imbracaminte femeiasca, care acopera corpul de la talie in jos."
gaina,"Specie de pasare domestica, crescuta pentru carne si oua."
gamba,Parte a piciorului de la genunchi pana la laba.
gasca,"Pasare domestica de talie mare, de obicei cenusie pe spate si pe laturi si alba pe piept, cu gatul lung, crescuta pentru carnea, untura si fulgii ei."
geaca,Jacheta scurta pana in talie.
glont,"Mic proiectil de otel, de arama sau de plumb, pentru unele arme de foc."
gluma,"Vorba de haz sau scurta poveste plina de haz (si cu un final neasteptat), care provoaca ras si veselie."
grajd,Constructie sau incapere special amenajata pentru adapostirea animalelor domestice mari.
grila,"Panou format din zebrele paralele, montat in faaa unei usi, a unei ferestre."
grota,"Caverna, pestera."
haina,Termen generic pentru obiectele de imbracaminte (in special) barbatesti.
halat,"Haina lunga de panza, de molton care se poarta in timpul lucrului, din motive de igiena sau pentru a proteja imbracamintea."
hamac,"Panza (de vele) sau plasa dreptunghiulara de sfoara, care se intinde orizontal intre doi stalpi, doi copaci si care serveste ca pat mobil sau ca leagan."
hiena,"Mamifer carnivor asemanator cu cainele, cu blana cenusie tarcata, cu gatul gros, cu urechile golase si cu picioarele anterioare mai lungi decat cele posterioare, care traieste in Africa si in Asia si care se hraneste mai ales cu cadavre."
hohot,Izbucnire zgomotoasa de ras sau de plans.
homar,"Crustaceu marin cu zece picioare, comestibil, asemanator cu racul."
hotar,Linie de demarcatie care desparte o tara de alta.
hotel,"Cladire mare cu multe camere sau apartamente mobilate, care se inchiriaza de obicei cu ziua (calatorilor)."
iarba,"Nume generic dat plantelor erbacee, anuale sau perene, cu partile aeriene verzi, subtiri si mladioase, folosite pentru hrana animalelor."
iarna,"Anotimpul cel mai friguros, care urmeaza dupa toamna si preceda primavara, cuprins intre solstitiul de la 22 decembrie si echinoctiul de la 21 martie."
iaurt,"Produs lactat cu un gust acid placut si cu aroma specifica, preparat din lapte de vaca, de oaie, de bivolita sau de capra, prin fermentare cu bacterii lactice din adaosul de maia."
ibric,"Vas cilindric, de metal, cu cioc si cu coada lunga, care serveste indeosebi la fiert cafeaua, ceaiul."
ilara,"Care este in stare de ilaritate; care starneste rasul, ilariant."
imens,"Care este extraordinar de mare, de numeros, de intens, de important."
index,Degetul aratator.
inima,"Organ intern musculos central al aparatului circulator, situat in partea stanga a toracelui, care are rolul de a asigura, prin contractiile sale ritmice, circulatia sangelui in organism, la om si la animalele superioare."
iubit,"Care este foarte drag cuiva, pe care cineva il iubeste."
izlaz,"Loc sau camp nelucrat, pe care creste iarba, folosit ca pasune."
janta,"Partea exterioara periferica a unei roti de autovehicul, de bicicleta, construita astfel incat sa permita montarea pe roata a unui pneu."
jeleu,Preparat dulce facut din suc de fructe fiert cu zahar si care are un aspect gelatinos.
jeton,"Piesa metalica sub forma de moneda, cu ajutorul careia se declanseaza un automat."
joaca,"Joc, distractie (copilareasca)."
juriu,"Comisie de specialiati desemnata pentru clasificarea si promovarea candidatilor sau a concurentilor si pentru decernarea unor premii la examene, competitii sportive."
kakiu,De culoare galbena-cafenie cu nuante verzui.
koala,"Mamifer catarator din ordinul marsupialelor, ca un ursulet, care traieste in padurile umede din Australia, hranindu-se cu frunze de eucalipt."
lacat,Incuietoare alcatuita dintr-un corp care contine mecanismul de incuiere cu cheia si o toarta care se petrece prin doua belciuge.
lacom,Care mananca si bea cu o pofta exagerata; caruia ii place sa manance mult.
lampa,Aparat ori dispozitiv care produce lumina prin arderea unui combustibil sau cu ajutorul curentului electric.
larva,"Stadiu in dezvoltarea individuala a unor animale la iesirea din ou, deosebit prin forma si mod de viata de stadiul adult."
lauda,Exprimare in cuvinte a pretuirii fata de cineva sau ceva; cuvinte prin care se exprima aceasta pretuire.
leafa,"Remuneratie, retributie, salariu."
lejer,"Care este usor, comod de purtat."
lenes,"Caruia ii lipseste dorinta, placerea de a munci, de a fi activ, caruia ii e lene."
lapte,"Lichid alb-galbui cu gust dulceag, foarte hranitor, secretat de glandele mamare ale femelelor mamiferelor."
liana,"Nume generic dat plantelor cu tulpina foarte lunga, subtire si flexibila, care se agata sau se incolacesc pe trunchiurile sau ramurile copacilor, pe ziduri."
liceu,Ciclu de invatamant urmand ciclului gimnazial in care se predau cunostintele necesare continuarii studiilor in invatamantul superior sau diverse specialitati pentru pregatirea cadrelor medii.
